,0
worst area,18.13
worst radius,11.7
worst concave points,10.62
worst perimeter,10.29
mean area,7.38
mean concavity,5.67
mean concave points,5.2
mean radius,4.87
area error,4.42
mean perimeter,3.07
worst concavity,2.96
worst texture,1.95
radius error,1.49
worst smoothness,1.46
mean texture,1.4
worst compactness,1.36
mean compactness,0.92
worst symmetry,0.83
worst fractal dimension,0.8
mean smoothness,0.76
concave points error,0.65
concavity error,0.55
perimeter error,0.55
smoothness error,0.53
texture error,0.52
fractal dimension error,0.45
mean fractal dimension,0.45
mean symmetry,0.36
compactness error,0.35
symmetry error,0.29
