,Outlet_Identifier,Outlet_Size,Outlet_Type
0,OUT049,Medium,Supermarket Type1
1,OUT018,Medium,Supermarket Type2
2,OUT049,Medium,Supermarket Type1
3,OUT010,,Grocery Store
4,OUT013,High,Supermarket Type1
5,OUT018,Medium,Supermarket Type2
6,OUT013,High,Supermarket Type1
7,OUT027,Medium,Supermarket Type3
8,OUT045,,Supermarket Type1
9,OUT017,,Supermarket Type1
10,OUT049,Medium,Supermarket Type1
11,OUT046,Small,Supermarket Type1
12,OUT049,Medium,Supermarket Type1
13,OUT046,Small,Supermarket Type1
14,OUT013,High,Supermarket Type1
15,OUT046,Small,Supermarket Type1
16,OUT018,Medium,Supermarket Type2
17,OUT049,Medium,Supermarket Type1
18,OUT027,Medium,Supermarket Type3
19,OUT035,Small,Supermarket Type1
20,OUT013,High,Supermarket Type1
21,OUT027,Medium,Supermarket Type3
22,OUT035,Small,Supermarket Type1
23,OUT019,Small,Grocery Store
24,OUT046,Small,Supermarket Type1
25,OUT017,,Supermarket Type1
26,OUT035,Small,Supermarket Type1
27,OUT013,High,Supermarket Type1
28,OUT010,,Grocery Store
29,OUT019,Small,Grocery Store
30,OUT010,,Grocery Store
31,OUT018,Medium,Supermarket Type2
32,OUT018,Medium,Supermarket Type2
33,OUT045,,Supermarket Type1
34,OUT046,Small,Supermarket Type1
35,OUT049,Medium,Supermarket Type1
36,OUT027,Medium,Supermarket Type3
37,OUT018,Medium,Supermarket Type2
38,OUT027,Medium,Supermarket Type3
39,OUT027,Medium,Supermarket Type3
40,OUT046,Small,Supermarket Type1
41,OUT013,High,Supermarket Type1
42,OUT049,Medium,Supermarket Type1
43,OUT018,Medium,Supermarket Type2
44,OUT013,High,Supermarket Type1
45,OUT010,,Grocery Store
46,OUT045,,Supermarket Type1
47,OUT045,,Supermarket Type1
48,OUT046,Small,Supermarket Type1
49,OUT019,Small,Grocery Store
50,OUT046,Small,Supermarket Type1
51,OUT013,High,Supermarket Type1
52,OUT013,High,Supermarket Type1
53,OUT017,,Supermarket Type1
54,OUT017,,Supermarket Type1
55,OUT018,Medium,Supermarket Type2
56,OUT045,,Supermarket Type1
57,OUT049,Medium,Supermarket Type1
58,OUT046,Small,Supermarket Type1
59,OUT019,Small,Grocery Store
60,OUT018,Medium,Supermarket Type2
61,OUT045,,Supermarket Type1
62,OUT027,Medium,Supermarket Type3
63,OUT019,Small,Grocery Store
64,OUT027,Medium,Supermarket Type3
65,OUT010,,Grocery Store
66,OUT035,Small,Supermarket Type1
67,OUT045,,Supermarket Type1
68,OUT045,,Supermarket Type1
69,OUT046,Small,Supermarket Type1
70,OUT046,Small,Supermarket Type1
71,OUT013,High,Supermarket Type1
72,OUT045,,Supermarket Type1
73,OUT017,,Supermarket Type1
74,OUT049,Medium,Supermarket Type1
75,OUT046,Small,Supermarket Type1
76,OUT049,Medium,Supermarket Type1
77,OUT019,Small,Grocery Store
78,OUT017,,Supermarket Type1
79,OUT045,,Supermarket Type1
80,OUT046,Small,Supermarket Type1
81,OUT046,Small,Supermarket Type1
82,OUT018,Medium,Supermarket Type2
83,OUT019,Small,Grocery Store
84,OUT027,Medium,Supermarket Type3
85,OUT017,,Supermarket Type1
86,OUT035,Small,Supermarket Type1
87,OUT027,Medium,Supermarket Type3
88,OUT046,Small,Supermarket Type1
89,OUT049,Medium,Supermarket Type1
90,OUT010,,Grocery Store
91,OUT049,Medium,Supermarket Type1
92,OUT045,,Supermarket Type1
93,OUT035,Small,Supermarket Type1
94,OUT035,Small,Supermarket Type1
95,OUT019,Small,Grocery Store
96,OUT049,Medium,Supermarket Type1
97,OUT035,Small,Supermarket Type1
98,OUT027,Medium,Supermarket Type3
99,OUT046,Small,Supermarket Type1
100,OUT045,,Supermarket Type1
101,OUT027,Medium,Supermarket Type3
102,OUT049,Medium,Supermarket Type1
103,OUT013,High,Supermarket Type1
104,OUT018,Medium,Supermarket Type2
105,OUT013,High,Supermarket Type1
106,OUT013,High,Supermarket Type1
107,OUT045,,Supermarket Type1
108,OUT019,Small,Grocery Store
109,OUT013,High,Supermarket Type1
110,OUT046,Small,Supermarket Type1
111,OUT017,,Supermarket Type1
112,OUT019,Small,Grocery Store
113,OUT027,Medium,Supermarket Type3
114,OUT045,,Supermarket Type1
115,OUT049,Medium,Supermarket Type1
116,OUT017,,Supermarket Type1
117,OUT035,Small,Supermarket Type1
118,OUT017,,Supermarket Type1
119,OUT018,Medium,Supermarket Type2
120,OUT017,,Supermarket Type1
121,OUT045,,Supermarket Type1
122,OUT010,,Grocery Store
123,OUT035,Small,Supermarket Type1
124,OUT017,,Supermarket Type1
125,OUT035,Small,Supermarket Type1
126,OUT046,Small,Supermarket Type1
127,OUT017,,Supermarket Type1
128,OUT013,High,Supermarket Type1
129,OUT045,,Supermarket Type1
130,OUT027,Medium,Supermarket Type3
131,OUT046,Small,Supermarket Type1
132,OUT027,Medium,Supermarket Type3
133,OUT010,,Grocery Store
134,OUT018,Medium,Supermarket Type2
135,OUT046,Small,Supermarket Type1
136,OUT027,Medium,Supermarket Type3
137,OUT045,,Supermarket Type1
138,OUT017,,Supermarket Type1
139,OUT010,,Grocery Store
140,OUT035,Small,Supermarket Type1
141,OUT017,,Supermarket Type1
142,OUT045,,Supermarket Type1
143,OUT049,Medium,Supermarket Type1
144,OUT035,Small,Supermarket Type1
145,OUT049,Medium,Supermarket Type1
146,OUT035,Small,Supermarket Type1
147,OUT035,Small,Supermarket Type1
148,OUT035,Small,Supermarket Type1
149,OUT035,Small,Supermarket Type1
150,OUT017,,Supermarket Type1
151,OUT018,Medium,Supermarket Type2
152,OUT018,Medium,Supermarket Type2
153,OUT027,Medium,Supermarket Type3
154,OUT046,Small,Supermarket Type1
155,OUT018,Medium,Supermarket Type2
156,OUT018,Medium,Supermarket Type2
157,OUT017,,Supermarket Type1
158,OUT017,,Supermarket Type1
159,OUT013,High,Supermarket Type1
160,OUT013,High,Supermarket Type1
161,OUT027,Medium,Supermarket Type3
162,OUT018,Medium,Supermarket Type2
163,OUT046,Small,Supermarket Type1
164,OUT046,Small,Supermarket Type1
165,OUT017,,Supermarket Type1
166,OUT017,,Supermarket Type1
167,OUT018,Medium,Supermarket Type2
168,OUT027,Medium,Supermarket Type3
169,OUT018,Medium,Supermarket Type2
170,OUT035,Small,Supermarket Type1
171,OUT017,,Supermarket Type1
172,OUT013,High,Supermarket Type1
173,OUT013,High,Supermarket Type1
174,OUT010,,Grocery Store
175,OUT010,,Grocery Store
176,OUT045,,Supermarket Type1
177,OUT010,,Grocery Store
178,OUT019,Small,Grocery Store
179,OUT045,,Supermarket Type1
180,OUT027,Medium,Supermarket Type3
181,OUT045,,Supermarket Type1
182,OUT019,Small,Grocery Store
183,OUT013,High,Supermarket Type1
184,OUT027,Medium,Supermarket Type3
185,OUT018,Medium,Supermarket Type2
186,OUT019,Small,Grocery Store
187,OUT049,Medium,Supermarket Type1
188,OUT045,,Supermarket Type1
189,OUT049,Medium,Supermarket Type1
190,OUT049,Medium,Supermarket Type1
191,OUT049,Medium,Supermarket Type1
192,OUT045,,Supermarket Type1
193,OUT018,Medium,Supermarket Type2
194,OUT027,Medium,Supermarket Type3
195,OUT046,Small,Supermarket Type1
196,OUT046,Small,Supermarket Type1
197,OUT049,Medium,Supermarket Type1
198,OUT027,Medium,Supermarket Type3
199,OUT027,Medium,Supermarket Type3
200,OUT045,,Supermarket Type1
201,OUT035,Small,Supermarket Type1
202,OUT045,,Supermarket Type1
203,OUT027,Medium,Supermarket Type3
204,OUT046,Small,Supermarket Type1
205,OUT010,,Grocery Store
206,OUT049,Medium,Supermarket Type1
207,OUT045,,Supermarket Type1
208,OUT019,Small,Grocery Store
209,OUT010,,Grocery Store
210,OUT035,Small,Supermarket Type1
211,OUT035,Small,Supermarket Type1
212,OUT017,,Supermarket Type1
213,OUT045,,Supermarket Type1
214,OUT010,,Grocery Store
215,OUT010,,Grocery Store
216,OUT010,,Grocery Store
217,OUT010,,Grocery Store
218,OUT013,High,Supermarket Type1
219,OUT035,Small,Supermarket Type1
220,OUT049,Medium,Supermarket Type1
221,OUT017,,Supermarket Type1
222,OUT046,Small,Supermarket Type1
223,OUT017,,Supermarket Type1
224,OUT013,High,Supermarket Type1
225,OUT019,Small,Grocery Store
226,OUT013,High,Supermarket Type1
227,OUT019,Small,Grocery Store
228,OUT035,Small,Supermarket Type1
229,OUT027,Medium,Supermarket Type3
230,OUT027,Medium,Supermarket Type3
231,OUT027,Medium,Supermarket Type3
232,OUT045,,Supermarket Type1
233,OUT035,Small,Supermarket Type1
234,OUT046,Small,Supermarket Type1
235,OUT027,Medium,Supermarket Type3
236,OUT019,Small,Grocery Store
237,OUT013,High,Supermarket Type1
238,OUT027,Medium,Supermarket Type3
239,OUT027,Medium,Supermarket Type3
240,OUT045,,Supermarket Type1
241,OUT017,,Supermarket Type1
242,OUT035,Small,Supermarket Type1
243,OUT017,,Supermarket Type1
244,OUT035,Small,Supermarket Type1
245,OUT035,Small,Supermarket Type1
246,OUT013,High,Supermarket Type1
247,OUT035,Small,Supermarket Type1
248,OUT049,Medium,Supermarket Type1
249,OUT017,,Supermarket Type1
250,OUT019,Small,Grocery Store
251,OUT018,Medium,Supermarket Type2
252,OUT049,Medium,Supermarket Type1
253,OUT013,High,Supermarket Type1
254,OUT045,,Supermarket Type1
255,OUT019,Small,Grocery Store
256,OUT017,,Supermarket Type1
257,OUT013,High,Supermarket Type1
258,OUT045,,Supermarket Type1
259,OUT017,,Supermarket Type1
260,OUT013,High,Supermarket Type1
261,OUT035,Small,Supermarket Type1
262,OUT017,,Supermarket Type1
263,OUT045,,Supermarket Type1
264,OUT045,,Supermarket Type1
265,OUT013,High,Supermarket Type1
266,OUT013,High,Supermarket Type1
267,OUT013,High,Supermarket Type1
268,OUT017,,Supermarket Type1
269,OUT013,High,Supermarket Type1
270,OUT046,Small,Supermarket Type1
271,OUT013,High,Supermarket Type1
272,OUT013,High,Supermarket Type1
273,OUT035,Small,Supermarket Type1
274,OUT046,Small,Supermarket Type1
275,OUT027,Medium,Supermarket Type3
276,OUT013,High,Supermarket Type1
277,OUT017,,Supermarket Type1
278,OUT010,,Grocery Store
279,OUT027,Medium,Supermarket Type3
280,OUT018,Medium,Supermarket Type2
281,OUT035,Small,Supermarket Type1
282,OUT027,Medium,Supermarket Type3
283,OUT017,,Supermarket Type1
284,OUT019,Small,Grocery Store
285,OUT035,Small,Supermarket Type1
286,OUT010,,Grocery Store
287,OUT018,Medium,Supermarket Type2
288,OUT035,Small,Supermarket Type1
289,OUT049,Medium,Supermarket Type1
290,OUT045,,Supermarket Type1
291,OUT027,Medium,Supermarket Type3
292,OUT045,,Supermarket Type1
293,OUT018,Medium,Supermarket Type2
294,OUT027,Medium,Supermarket Type3
295,OUT049,Medium,Supermarket Type1
296,OUT035,Small,Supermarket Type1
297,OUT046,Small,Supermarket Type1
298,OUT017,,Supermarket Type1
299,OUT046,Small,Supermarket Type1
300,OUT027,Medium,Supermarket Type3
301,OUT019,Small,Grocery Store
302,OUT035,Small,Supermarket Type1
303,OUT018,Medium,Supermarket Type2
304,OUT045,,Supermarket Type1
305,OUT017,,Supermarket Type1
306,OUT045,,Supermarket Type1
307,OUT018,Medium,Supermarket Type2
308,OUT046,Small,Supermarket Type1
309,OUT035,Small,Supermarket Type1
310,OUT035,Small,Supermarket Type1
311,OUT046,Small,Supermarket Type1
312,OUT046,Small,Supermarket Type1
313,OUT027,Medium,Supermarket Type3
