,Item_Identifier,Outlet_Identifier,yhat
0,FDW58,OUT049,1598.133055999999
1,FDW14,OUT017,1266.091938
2,NCN55,OUT010,793.3140159999998
3,FDQ58,OUT017,2237.8403540000004
4,FDY38,OUT027,6195.255684
5,FDH56,OUT046,1856.5433520000006
6,FDL48,OUT018,654.641192
7,FDC48,OUT027,1895.4327300000023
8,FDN33,OUT045,1102.6380380000007
9,FDA36,OUT017,2622.033586000001
10,FDT44,OUT017,1488.5623500000004
11,FDQ56,OUT045,1642.3355180000008
12,NCC54,OUT019,741.960862
13,FDU11,OUT049,1795.1233019999997
14,DRL59,OUT013,877.8772740000003
15,FDM24,OUT049,2782.684468
16,FDI57,OUT045,3749.7656260000017
17,DRC12,OUT018,3345.698263999998
18,NCM42,OUT027,3133.394618000001
19,FDA46,OUT010,457.8040800000001
20,FDA31,OUT013,2458.419894000002
21,NCJ31,OUT035,3479.357613999999
22,FDG52,OUT046,725.5622079999997
23,NCL19,OUT019,358.18042599999984
24,FDS10,OUT035,2775.5803819999987
25,FDX22,OUT010,482.3787580000002
26,NCF19,OUT035,742.5134759999997
27,NCE06,OUT046,2098.721444000001
28,DRC27,OUT046,4249.848005999999
29,FDE21,OUT035,1911.9911759999993
30,NCR42,OUT019,71.85313600000002
31,FDX51,OUT018,2663.8058779999997
32,NCR06,OUT018,404.3669720000003
33,FDU31,OUT027,5526.9722500000025
34,FDU59,OUT017,2197.020155999998
35,FDR03,OUT027,5608.825702000001
36,FDS49,OUT027,2513.1353379999996
37,FDD48,OUT010,263.52364000000006
38,NCF18,OUT017,3516.4027260000007
39,NCD43,OUT027,2112.3170800000003
40,NCD54,OUT018,1746.599798
41,FDY19,OUT010,210.93209799999994
42,NCY54,OUT017,2754.9006340000014
43,NCL19,OUT018,2339.4281179999994
44,FDP23,OUT010,417.3633880000002
45,FDC26,OUT013,1582.2404099999985
46,FDR14,OUT010,175.54482800000002
47,NCS41,OUT035,2836.114917999999
48,FDF41,OUT035,3771.6704459999983
49,FDU34,OUT046,2128.842236000001
50,DRH11,OUT046,804.3330059999998
51,FDM03,OUT013,1957.045862000001
52,FDS31,OUT017,3385.8060559999985
53,FDJ20,OUT017,1640.2382480000012
54,FDV44,OUT027,4653.123065999999
55,FDG02,OUT049,2956.697955999999
56,FDA09,OUT013,3956.303444
57,FDT04,OUT013,565.583784
58,FDL58,OUT019,620.6121539999995
59,FDE52,OUT045,1337.5322779999988
60,FDW12,OUT035,2845.9088360000005
61,FDL51,OUT017,3703.585737999998
62,NCY42,OUT027,2555.380348
63,FDR07,OUT017,1565.2625100000005
64,FDN40,OUT045,2691.702898000001
65,FDB35,OUT027,2827.006774
66,FDA22,OUT017,2268.2873879999997
67,NCL06,OUT046,4347.387705999997
68,FDI35,OUT013,3672.3663760000013
69,NCW42,OUT045,4000.246244000002
70,NCX06,OUT049,3344.180239999999
71,FDC37,OUT027,2385.7012180000006
72,FDZ14,OUT018,1996.5344599999996
73,DRG49,OUT049,5358.0521320000025
74,NCG06,OUT045,2964.028413999999
75,DRC36,OUT045,2753.102974000002
76,FDV21,OUT019,467.7711059999999
77,FDB53,OUT046,3307.8541920000007
78,DRP47,OUT019,614.4002400000004
79,FDA14,OUT013,2122.5637420000003
80,DRC24,OUT035,2777.9106820000015
