년,월,일,지역-시도,지역-시군구,지역-읍면동,성별,연령대,이용_비율(%)
2018,2,1,강원도,강릉시,임당동,여,50대,0.00016
2018,2,1,강원도,강릉시,임당동,남,30대,0.00165
2018,2,1,강원도,강릉시,임당동,남,50대,0.00049
2018,2,1,강원도,속초시,조양동,남,40대,0.00148
2018,2,1,강원도,속초시,조양동,남,50대,0.00008
2018,2,1,강원도,속초시,조양동,여,40대,0.00091
2018,2,1,강원도,원주시,단계동,남,10대,0.00082
2018,2,1,강원도,원주시,단계동,여,30대,0.00165
2018,2,1,강원도,원주시,단계동,여,50대,0.00041
2018,2,1,강원도,원주시,단구동,남,30대,0.00016
2018,2,1,강원도,원주시,단계동,남,20대,0.0014
2018,2,1,강원도,속초시,조양동,여,60대이상,0.00025
2018,2,1,강원도,원주시,단구동,남,40대,0.00016
2018,2,1,강원도,원주시,단구동,남,50대,0.00033
2018,2,1,강원도,원주시,단계동,여,20대,0.00329
2018,2,1,강원도,속초시,조양동,여,30대,0.00189
2018,2,1,강원도,원주시,단구동,여,20대,0.00016
2018,2,1,강원도,속초시,조양동,여,50대,0.00091
2018,2,1,강원도,강릉시,임당동,여,30대,0.00099
2018,2,1,강원도,원주시,단구동,여,30대,0.00033
2018,2,1,강원도,원주시,무실동,남,20대,0.00016
2018,2,1,강원도,원주시,단계동,남,50대,0.00041
2018,2,1,강원도,원주시,무실동,남,30대,0.00181
2018,2,1,강원도,원주시,무실동,남,40대,0.00049
2018,2,1,강원도,원주시,무실동,여,20대,0.00049
2018,2,1,강원도,원주시,무실동,여,40대,0.00016
2018,2,1,강원도,원주시,반곡동,남,40대,0.00123
2018,2,1,강원도,원주시,반곡동,남,50대,0.00016
2018,2,1,강원도,원주시,무실동,남,50대,0.00016
2018,2,1,강원도,원주시,반곡동,남,60대이상,0.00025
2018,2,1,강원도,원주시,반곡동,여,10대,0.00016
2018,2,1,강원도,원주시,반곡동,남,20대,0.00058
2018,2,1,강원도,강릉시,임당동,남,40대,0.00066
2018,2,1,강원도,원주시,반곡동,여,30대,0.0023
2018,2,1,강원도,원주시,반곡동,여,50대,0.00033
2018,2,1,강원도,원주시,단구동,남,20대,0.00033
2018,2,1,강원도,원주시,무실동,여,30대,0.00148
2018,2,1,강원도,춘천시,온의동,남,20대,0.00099
2018,2,1,강원도,원주시,단계동,남,30대,0.00263
2018,2,1,강원도,춘천시,온의동,남,30대,0.00115
2018,2,1,강원도,원주시,단계동,여,40대,0.00181
2018,2,1,강원도,속초시,조양동,남,10대,0.00115
2018,2,1,강원도,원주시,단계동,남,40대,0.00099
2018,2,1,강원도,강릉시,임당동,여,10대,0.00016
2018,2,1,강원도,춘천시,온의동,남,40대,0.00074
2018,2,1,강원도,속초시,조양동,여,20대,0.00198
2018,2,1,강원도,속초시,조양동,남,30대,0.00058
2018,2,1,강원도,원주시,반곡동,남,10대,0.00016
2018,2,1,강원도,춘천시,온의동,남,60대이상,0.00041
2018,2,1,강원도,춘천시,온의동,여,10대,0.00016
2018,2,1,강원도,춘천시,온의동,여,30대,0.00156
2018,2,1,강원도,속초시,조양동,여,10대,0.00082
2018,2,1,강원도,속초시,조양동,남,20대,0.00115
2018,2,1,강원도,강릉시,임당동,여,40대,0.00066
2018,2,1,강원도,원주시,반곡동,여,20대,0.00091
2018,2,1,강원도,춘천시,온의동,여,50대,0.00058
2018,2,1,강원도,춘천시,중앙로2가,남,20대,0.00049
2018,2,1,강원도,원주시,단계동,여,10대,0.00074
2018,2,1,강원도,춘천시,중앙로2가,남,30대,0.00066
2018,2,1,강원도,원주시,반곡동,남,30대,0.00099
2018,2,1,강원도,강릉시,임당동,여,20대,0.00115
2018,2,1,강원도,춘천시,중앙로2가,여,20대,0.00016
2018,2,1,강원도,춘천시,온의동,여,20대,0.00255
2018,2,1,강원도,춘천시,중앙로2가,여,30대,0.00033
2018,2,1,강원도,춘천시,퇴계동,남,20대,0.00066
2018,2,1,강원도,원주시,단계동,남,60대이상,0.00016
2018,2,1,강원도,춘천시,퇴계동,남,30대,0.00132
2018,2,1,강원도,춘천시,퇴계동,남,40대,0.00115
2018,2,1,강원도,춘천시,퇴계동,남,50대,0.00066
2018,2,1,강원도,춘천시,온의동,여,40대,0.00066
2018,2,1,강원도,강릉시,임당동,남,20대,0.00082
2018,2,1,강원도,춘천시,퇴계동,여,20대,0.00033
2018,2,1,강원도,원주시,단구동,여,40대,0.00016
2018,2,1,강원도,원주시,반곡동,여,40대,0.00181
2018,2,1,강원도,춘천시,퇴계동,여,30대,0.00099
2018,2,1,강원도,춘천시,퇴계동,여,40대,0.00033
2018,2,1,강원도,춘천시,온의동,남,50대,0.00049
2018,2,1,경기도,고양시 덕양구,삼송동,남,10대,0.00058
2018,2,1,경기도,고양시 덕양구,화정동,여,40대,0.00066
