,imsi,Outlet_Type,Outlet_Location_Type
23,OUT01,Grocery Store,Tier 1
29,OUT01,Grocery Store,Tier 1
49,OUT01,Grocery Store,Tier 1
59,OUT01,Grocery Store,Tier 1
63,OUT01,Grocery Store,Tier 1
77,OUT01,Grocery Store,Tier 1
83,OUT01,Grocery Store,Tier 1
95,OUT01,Grocery Store,Tier 1
108,OUT01,Grocery Store,Tier 1
112,OUT01,Grocery Store,Tier 1
178,OUT01,Grocery Store,Tier 1
182,OUT01,Grocery Store,Tier 1
186,OUT01,Grocery Store,Tier 1
208,OUT01,Grocery Store,Tier 1
225,OUT01,Grocery Store,Tier 1
227,OUT01,Grocery Store,Tier 1
236,OUT01,Grocery Store,Tier 1
250,OUT01,Grocery Store,Tier 1
255,OUT01,Grocery Store,Tier 1
284,OUT01,Grocery Store,Tier 1
301,OUT01,Grocery Store,Tier 1
334,OUT01,Grocery Store,Tier 1
344,OUT01,Grocery Store,Tier 1
364,OUT01,Grocery Store,Tier 1
371,OUT01,Grocery Store,Tier 1
393,OUT01,Grocery Store,Tier 1
405,OUT01,Grocery Store,Tier 1
417,OUT01,Grocery Store,Tier 1
430,OUT01,Grocery Store,Tier 1
433,OUT01,Grocery Store,Tier 1
434,OUT01,Grocery Store,Tier 1
446,OUT01,Grocery Store,Tier 1
487,OUT01,Grocery Store,Tier 1
489,OUT01,Grocery Store,Tier 1
490,OUT01,Grocery Store,Tier 1
509,OUT01,Grocery Store,Tier 1
527,OUT01,Grocery Store,Tier 1
545,OUT01,Grocery Store,Tier 1
552,OUT01,Grocery Store,Tier 1
563,OUT01,Grocery Store,Tier 1
574,OUT01,Grocery Store,Tier 1
633,OUT01,Grocery Store,Tier 1
698,OUT01,Grocery Store,Tier 1
715,OUT01,Grocery Store,Tier 1
742,OUT01,Grocery Store,Tier 1
827,OUT01,Grocery Store,Tier 1
833,OUT01,Grocery Store,Tier 1
841,OUT01,Grocery Store,Tier 1
847,OUT01,Grocery Store,Tier 1
849,OUT01,Grocery Store,Tier 1
854,OUT01,Grocery Store,Tier 1
858,OUT01,Grocery Store,Tier 1
900,OUT01,Grocery Store,Tier 1
911,OUT01,Grocery Store,Tier 1
916,OUT01,Grocery Store,Tier 1
918,OUT01,Grocery Store,Tier 1
920,OUT01,Grocery Store,Tier 1
924,OUT01,Grocery Store,Tier 1
933,OUT01,Grocery Store,Tier 1
938,OUT01,Grocery Store,Tier 1
976,OUT01,Grocery Store,Tier 1
1025,OUT01,Grocery Store,Tier 1
1028,OUT01,Grocery Store,Tier 1
1046,OUT01,Grocery Store,Tier 1
1078,OUT01,Grocery Store,Tier 1
1088,OUT01,Grocery Store,Tier 1
1129,OUT01,Grocery Store,Tier 1
1130,OUT01,Grocery Store,Tier 1
1131,OUT01,Grocery Store,Tier 1
1134,OUT01,Grocery Store,Tier 1
1159,OUT01,Grocery Store,Tier 1
1176,OUT01,Grocery Store,Tier 1
1177,OUT01,Grocery Store,Tier 1
1185,OUT01,Grocery Store,Tier 1
1204,OUT01,Grocery Store,Tier 1
1225,OUT01,Grocery Store,Tier 1
1252,OUT01,Grocery Store,Tier 1
1268,OUT01,Grocery Store,Tier 1
1280,OUT01,Grocery Store,Tier 1
1303,OUT01,Grocery Store,Tier 1
1324,OUT01,Grocery Store,Tier 1
1350,OUT01,Grocery Store,Tier 1
1366,OUT01,Grocery Store,Tier 1
1423,OUT01,Grocery Store,Tier 1
1429,OUT01,Grocery Store,Tier 1
1434,OUT01,Grocery Store,Tier 1
1441,OUT01,Grocery Store,Tier 1
1445,OUT01,Grocery Store,Tier 1
1454,OUT01,Grocery Store,Tier 1
1462,OUT01,Grocery Store,Tier 1
1489,OUT01,Grocery Store,Tier 1
1490,OUT01,Grocery Store,Tier 1
1501,OUT01,Grocery Store,Tier 1
1540,OUT01,Grocery Store,Tier 1
1553,OUT01,Grocery Store,Tier 1
1560,OUT01,Grocery Store,Tier 1
1575,OUT01,Grocery Store,Tier 1
1588,OUT01,Grocery Store,Tier 1
1670,OUT01,Grocery Store,Tier 1
1671,OUT01,Grocery Store,Tier 1
1680,OUT01,Grocery Store,Tier 1
1699,OUT01,Grocery Store,Tier 1
1701,OUT01,Grocery Store,Tier 1
1708,OUT01,Grocery Store,Tier 1
1740,OUT01,Grocery Store,Tier 1
1752,OUT01,Grocery Store,Tier 1
1758,OUT01,Grocery Store,Tier 1
1776,OUT01,Grocery Store,Tier 1
1789,OUT01,Grocery Store,Tier 1
1791,OUT01,Grocery Store,Tier 1
1805,OUT01,Grocery Store,Tier 1
1807,OUT01,Grocery Store,Tier 1
1814,OUT01,Grocery Store,Tier 1
1827,OUT01,Grocery Store,Tier 1
1829,OUT01,Grocery Store,Tier 1
1847,OUT01,Grocery Store,Tier 1
1880,OUT01,Grocery Store,Tier 1
1887,OUT01,Grocery Store,Tier 1
1913,OUT01,Grocery Store,Tier 1
1914,OUT01,Grocery Store,Tier 1
1932,OUT01,Grocery Store,Tier 1
1941,OUT01,Grocery Store,Tier 1
1962,OUT01,Grocery Store,Tier 1
1966,OUT01,Grocery Store,Tier 1
1976,OUT01,Grocery Store,Tier 1
2010,OUT01,Grocery Store,Tier 1
2014,OUT01,Grocery Store,Tier 1
2015,OUT01,Grocery Store,Tier 1
2021,OUT01,Grocery Store,Tier 1
2035,OUT01,Grocery Store,Tier 1
2055,OUT01,Grocery Store,Tier 1
2062,OUT01,Grocery Store,Tier 1
2102,OUT01,Grocery Store,Tier 1
2139,OUT01,Grocery Store,Tier 1
2153,OUT01,Grocery Store,Tier 1
2177,OUT01,Grocery Store,Tier 1
2208,OUT01,Grocery Store,Tier 1
2209,OUT01,Grocery Store,Tier 1
2239,OUT01,Grocery Store,Tier 1
2251,OUT01,Grocery Store,Tier 1
2271,OUT01,Grocery Store,Tier 1
2276,OUT01,Grocery Store,Tier 1
2325,OUT01,Grocery Store,Tier 1
2327,OUT01,Grocery Store,Tier 1
2337,OUT01,Grocery Store,Tier 1
2401,OUT01,Grocery Store,Tier 1
2403,OUT01,Grocery Store,Tier 1
2430,OUT01,Grocery Store,Tier 1
2435,OUT01,Grocery Store,Tier 1
2439,OUT01,Grocery Store,Tier 1
2475,OUT01,Grocery Store,Tier 1
2486,OUT01,Grocery Store,Tier 1
2571,OUT01,Grocery Store,Tier 1
2586,OUT01,Grocery Store,Tier 1
2595,OUT01,Grocery Store,Tier 1
2613,OUT01,Grocery Store,Tier 1
2663,OUT01,Grocery Store,Tier 1
2702,OUT01,Grocery Store,Tier 1
2715,OUT01,Grocery Store,Tier 1
2718,OUT01,Grocery Store,Tier 1
2753,OUT01,Grocery Store,Tier 1
2766,OUT01,Grocery Store,Tier 1
2770,OUT01,Grocery Store,Tier 1
2782,OUT01,Grocery Store,Tier 1
2794,OUT01,Grocery Store,Tier 1
2800,OUT01,Grocery Store,Tier 1
2832,OUT01,Grocery Store,Tier 1
2840,OUT01,Grocery Store,Tier 1
2866,OUT01,Grocery Store,Tier 1
2867,OUT01,Grocery Store,Tier 1
2879,OUT01,Grocery Store,Tier 1
2895,OUT01,Grocery Store,Tier 1
2912,OUT01,Grocery Store,Tier 1
2931,OUT01,Grocery Store,Tier 1
2945,OUT01,Grocery Store,Tier 1
2950,OUT01,Grocery Store,Tier 1
2962,OUT01,Grocery Store,Tier 1
3017,OUT01,Grocery Store,Tier 1
3018,OUT01,Grocery Store,Tier 1
3023,OUT01,Grocery Store,Tier 1
3029,OUT01,Grocery Store,Tier 1
3039,OUT01,Grocery Store,Tier 1
3046,OUT01,Grocery Store,Tier 1
3053,OUT01,Grocery Store,Tier 1
3076,OUT01,Grocery Store,Tier 1
3114,OUT01,Grocery Store,Tier 1
3157,OUT01,Grocery Store,Tier 1
3164,OUT01,Grocery Store,Tier 1
3192,OUT01,Grocery Store,Tier 1
3204,OUT01,Grocery Store,Tier 1
3205,OUT01,Grocery Store,Tier 1
3206,OUT01,Grocery Store,Tier 1
3252,OUT01,Grocery Store,Tier 1
3269,OUT01,Grocery Store,Tier 1
3293,OUT01,Grocery Store,Tier 1
3341,OUT01,Grocery Store,Tier 1
3347,OUT01,Grocery Store,Tier 1
3354,OUT01,Grocery Store,Tier 1
3375,OUT01,Grocery Store,Tier 1
3390,OUT01,Grocery Store,Tier 1
3398,OUT01,Grocery Store,Tier 1
3440,OUT01,Grocery Store,Tier 1
3458,OUT01,Grocery Store,Tier 1
3474,OUT01,Grocery Store,Tier 1
3483,OUT01,Grocery Store,Tier 1
3484,OUT01,Grocery Store,Tier 1
3507,OUT01,Grocery Store,Tier 1
3511,OUT01,Grocery Store,Tier 1
3540,OUT01,Grocery Store,Tier 1
3545,OUT01,Grocery Store,Tier 1
3598,OUT01,Grocery Store,Tier 1
3635,OUT01,Grocery Store,Tier 1
3645,OUT01,Grocery Store,Tier 1
3691,OUT01,Grocery Store,Tier 1
3750,OUT01,Grocery Store,Tier 1
3767,OUT01,Grocery Store,Tier 1
3768,OUT01,Grocery Store,Tier 1
3773,OUT01,Grocery Store,Tier 1
3809,OUT01,Grocery Store,Tier 1
3811,OUT01,Grocery Store,Tier 1
3824,OUT01,Grocery Store,Tier 1
3884,OUT01,Grocery Store,Tier 1
3896,OUT01,Grocery Store,Tier 1
3915,OUT01,Grocery Store,Tier 1
3935,OUT01,Grocery Store,Tier 1
3940,OUT01,Grocery Store,Tier 1
3948,OUT01,Grocery Store,Tier 1
3993,OUT01,Grocery Store,Tier 1
4006,OUT01,Grocery Store,Tier 1
4009,OUT01,Grocery Store,Tier 1
4020,OUT01,Grocery Store,Tier 1
4026,OUT01,Grocery Store,Tier 1
4031,OUT01,Grocery Store,Tier 1
4043,OUT01,Grocery Store,Tier 1
4101,OUT01,Grocery Store,Tier 1
4108,OUT01,Grocery Store,Tier 1
4136,OUT01,Grocery Store,Tier 1
4147,OUT01,Grocery Store,Tier 1
4175,OUT01,Grocery Store,Tier 1
4184,OUT01,Grocery Store,Tier 1
4192,OUT01,Grocery Store,Tier 1
4263,OUT01,Grocery Store,Tier 1
4290,OUT01,Grocery Store,Tier 1
4298,OUT01,Grocery Store,Tier 1
4315,OUT01,Grocery Store,Tier 1
4377,OUT01,Grocery Store,Tier 1
4382,OUT01,Grocery Store,Tier 1
4389,OUT01,Grocery Store,Tier 1
4392,OUT01,Grocery Store,Tier 1
4462,OUT01,Grocery Store,Tier 1
4472,OUT01,Grocery Store,Tier 1
4517,OUT01,Grocery Store,Tier 1
4538,OUT01,Grocery Store,Tier 1
4552,OUT01,Grocery Store,Tier 1
4554,OUT01,Grocery Store,Tier 1
4559,OUT01,Grocery Store,Tier 1
4560,OUT01,Grocery Store,Tier 1
4567,OUT01,Grocery Store,Tier 1
4583,OUT01,Grocery Store,Tier 1
4588,OUT01,Grocery Store,Tier 1
4599,OUT01,Grocery Store,Tier 1
4611,OUT01,Grocery Store,Tier 1
4634,OUT01,Grocery Store,Tier 1
4637,OUT01,Grocery Store,Tier 1
4670,OUT01,Grocery Store,Tier 1
4674,OUT01,Grocery Store,Tier 1
4688,OUT01,Grocery Store,Tier 1
4705,OUT01,Grocery Store,Tier 1
4715,OUT01,Grocery Store,Tier 1
4717,OUT01,Grocery Store,Tier 1
4726,OUT01,Grocery Store,Tier 1
4736,OUT01,Grocery Store,Tier 1
4793,OUT01,Grocery Store,Tier 1
4812,OUT01,Grocery Store,Tier 1
4861,OUT01,Grocery Store,Tier 1
4897,OUT01,Grocery Store,Tier 1
4938,OUT01,Grocery Store,Tier 1
4943,OUT01,Grocery Store,Tier 1
4957,OUT01,Grocery Store,Tier 1
4968,OUT01,Grocery Store,Tier 1
5022,OUT01,Grocery Store,Tier 1
5092,OUT01,Grocery Store,Tier 1
5101,OUT01,Grocery Store,Tier 1
5106,OUT01,Grocery Store,Tier 1
5122,OUT01,Grocery Store,Tier 1
5148,OUT01,Grocery Store,Tier 1
5150,OUT01,Grocery Store,Tier 1
5180,OUT01,Grocery Store,Tier 1
5252,OUT01,Grocery Store,Tier 1
5284,OUT01,Grocery Store,Tier 1
5290,OUT01,Grocery Store,Tier 1
5332,OUT01,Grocery Store,Tier 1
5338,OUT01,Grocery Store,Tier 1
5344,OUT01,Grocery Store,Tier 1
5354,OUT01,Grocery Store,Tier 1
5386,OUT01,Grocery Store,Tier 1
5392,OUT01,Grocery Store,Tier 1
5397,OUT01,Grocery Store,Tier 1
5404,OUT01,Grocery Store,Tier 1
5414,OUT01,Grocery Store,Tier 1
5427,OUT01,Grocery Store,Tier 1
5448,OUT01,Grocery Store,Tier 1
5450,OUT01,Grocery Store,Tier 1
5453,OUT01,Grocery Store,Tier 1
5461,OUT01,Grocery Store,Tier 1
5465,OUT01,Grocery Store,Tier 1
5476,OUT01,Grocery Store,Tier 1
5485,OUT01,Grocery Store,Tier 1
5524,OUT01,Grocery Store,Tier 1
5578,OUT01,Grocery Store,Tier 1
5582,OUT01,Grocery Store,Tier 1
5599,OUT01,Grocery Store,Tier 1
5604,OUT01,Grocery Store,Tier 1
5606,OUT01,Grocery Store,Tier 1
5612,OUT01,Grocery Store,Tier 1
5624,OUT01,Grocery Store,Tier 1
5634,OUT01,Grocery Store,Tier 1
5640,OUT01,Grocery Store,Tier 1
5670,OUT01,Grocery Store,Tier 1
5671,OUT01,Grocery Store,Tier 1
5693,OUT01,Grocery Store,Tier 1
5705,OUT01,Grocery Store,Tier 1
5709,OUT01,Grocery Store,Tier 1
5719,OUT01,Grocery Store,Tier 1
5728,OUT01,Grocery Store,Tier 1
5729,OUT01,Grocery Store,Tier 1
5732,OUT01,Grocery Store,Tier 1
5735,OUT01,Grocery Store,Tier 1
5766,OUT01,Grocery Store,Tier 1
5795,OUT01,Grocery Store,Tier 1
5804,OUT01,Grocery Store,Tier 1
5825,OUT01,Grocery Store,Tier 1
5847,OUT01,Grocery Store,Tier 1
5853,OUT01,Grocery Store,Tier 1
5854,OUT01,Grocery Store,Tier 1
5860,OUT01,Grocery Store,Tier 1
5862,OUT01,Grocery Store,Tier 1
5871,OUT01,Grocery Store,Tier 1
5880,OUT01,Grocery Store,Tier 1
5894,OUT01,Grocery Store,Tier 1
5934,OUT01,Grocery Store,Tier 1
5935,OUT01,Grocery Store,Tier 1
5937,OUT01,Grocery Store,Tier 1
5946,OUT01,Grocery Store,Tier 1
5972,OUT01,Grocery Store,Tier 1
5974,OUT01,Grocery Store,Tier 1
5993,OUT01,Grocery Store,Tier 1
6008,OUT01,Grocery Store,Tier 1
6017,OUT01,Grocery Store,Tier 1
6019,OUT01,Grocery Store,Tier 1
6035,OUT01,Grocery Store,Tier 1
6040,OUT01,Grocery Store,Tier 1
6099,OUT01,Grocery Store,Tier 1
6102,OUT01,Grocery Store,Tier 1
6105,OUT01,Grocery Store,Tier 1
6139,OUT01,Grocery Store,Tier 1
6179,OUT01,Grocery Store,Tier 1
6204,OUT01,Grocery Store,Tier 1
6208,OUT01,Grocery Store,Tier 1
6221,OUT01,Grocery Store,Tier 1
6238,OUT01,Grocery Store,Tier 1
6241,OUT01,Grocery Store,Tier 1
6262,OUT01,Grocery Store,Tier 1
6308,OUT01,Grocery Store,Tier 1
6341,OUT01,Grocery Store,Tier 1
6362,OUT01,Grocery Store,Tier 1
6368,OUT01,Grocery Store,Tier 1
6387,OUT01,Grocery Store,Tier 1
6394,OUT01,Grocery Store,Tier 1
6418,OUT01,Grocery Store,Tier 1
6424,OUT01,Grocery Store,Tier 1
6483,OUT01,Grocery Store,Tier 1
6492,OUT01,Grocery Store,Tier 1
6504,OUT01,Grocery Store,Tier 1
6528,OUT01,Grocery Store,Tier 1
6547,OUT01,Grocery Store,Tier 1
6556,OUT01,Grocery Store,Tier 1
6565,OUT01,Grocery Store,Tier 1
6581,OUT01,Grocery Store,Tier 1
6591,OUT01,Grocery Store,Tier 1
6611,OUT01,Grocery Store,Tier 1
6622,OUT01,Grocery Store,Tier 1
6641,OUT01,Grocery Store,Tier 1
6644,OUT01,Grocery Store,Tier 1
6646,OUT01,Grocery Store,Tier 1
6657,OUT01,Grocery Store,Tier 1
6671,OUT01,Grocery Store,Tier 1
6699,OUT01,Grocery Store,Tier 1
6728,OUT01,Grocery Store,Tier 1
6747,OUT01,Grocery Store,Tier 1
6754,OUT01,Grocery Store,Tier 1
6774,OUT01,Grocery Store,Tier 1
6779,OUT01,Grocery Store,Tier 1
6786,OUT01,Grocery Store,Tier 1
6811,OUT01,Grocery Store,Tier 1
6814,OUT01,Grocery Store,Tier 1
6831,OUT01,Grocery Store,Tier 1
6836,OUT01,Grocery Store,Tier 1
6849,OUT01,Grocery Store,Tier 1
6855,OUT01,Grocery Store,Tier 1
6869,OUT01,Grocery Store,Tier 1
6871,OUT01,Grocery Store,Tier 1
6875,OUT01,Grocery Store,Tier 1
6883,OUT01,Grocery Store,Tier 1
6903,OUT01,Grocery Store,Tier 1
6926,OUT01,Grocery Store,Tier 1
6935,OUT01,Grocery Store,Tier 1
6942,OUT01,Grocery Store,Tier 1
6947,OUT01,Grocery Store,Tier 1
6952,OUT01,Grocery Store,Tier 1
6953,OUT01,Grocery Store,Tier 1
6955,OUT01,Grocery Store,Tier 1
6976,OUT01,Grocery Store,Tier 1
6979,OUT01,Grocery Store,Tier 1
6983,OUT01,Grocery Store,Tier 1
6986,OUT01,Grocery Store,Tier 1
6997,OUT01,Grocery Store,Tier 1
7003,OUT01,Grocery Store,Tier 1
7030,OUT01,Grocery Store,Tier 1
7072,OUT01,Grocery Store,Tier 1
7074,OUT01,Grocery Store,Tier 1
7081,OUT01,Grocery Store,Tier 1
7083,OUT01,Grocery Store,Tier 1
7088,OUT01,Grocery Store,Tier 1
7105,OUT01,Grocery Store,Tier 1
7119,OUT01,Grocery Store,Tier 1
7121,OUT01,Grocery Store,Tier 1
7123,OUT01,Grocery Store,Tier 1
7130,OUT01,Grocery Store,Tier 1
7141,OUT01,Grocery Store,Tier 1
