회원번호,가입일,첫구매일,최종구매일,누적구매횟수,평균주문금액,멤버쉽가입,신규멤버쉽가입,광고문자수신동의
84,2015-05-13,2015-06-02,2019-06-18,302,124232,N,N,Y
107,2015-05-14,2015-06-04,2019-06-18,93,84372,N,N,Y
117,2015-05-14,2015-05-31,2019-06-18,271,40478,N,Y,Y
368,2015-05-22,2015-06-17,2019-06-07,36,52326,N,N,Y
402,2015-05-25,2015-06-12,2019-06-07,35,74751,N,N,Y
455,2015-05-29,2015-05-29,2019-06-16,694,57446,N,N,Y
559,2015-06-03,2015-06-03,2019-06-12,251,87309,N,N,Y
584,2015-06-03,2015-06-03,2019-06-11,314,40047,N,N,N
672,2015-06-03,2015-06-23,2019-06-13,106,89977,N,N,Y
971,2015-06-04,2015-06-15,2019-06-18,538,38231,N,Y,N
1028,2015-06-05,2015-08-25,2019-06-17,528,35432,N,Y,Y
1138,2015-06-06,2015-06-09,2019-06-18,114,58472,N,N,Y
1140,2015-06-06,2015-06-22,2019-06-17,145,42111,N,Y,Y
1154,2015-06-06,2015-06-06,2019-06-18,319,56257,N,N,N
1155,2015-06-06,2015-06-22,2019-06-16,110,89583,N,N,Y
1156,2015-06-06,2015-06-12,2019-06-16,172,59480,N,N,Y
1170,2015-06-06,2015-06-06,2019-06-17,203,52832,N,N,N
1202,2015-06-06,2015-06-06,2019-06-16,113,63808,N,N,Y
1203,2015-06-06,2015-06-09,2019-06-17,156,64990,N,N,Y
1208,2015-06-06,2015-10-28,2019-06-13,86,57300,N,N,Y
1211,2015-06-06,2015-06-13,2019-06-17,134,66178,N,N,N
1231,2015-06-06,2017-08-29,2019-06-17,28,110714,N,N,Y
1243,2015-06-07,2015-06-10,2019-06-13,116,71598,N,N,Y
1645,2015-06-09,2015-08-07,2019-06-17,78,50650,N,N,Y
2073,2015-06-11,2016-06-02,2019-06-17,81,100697,N,N,Y
2078,2015-06-11,2018-10-13,2019-06-18,48,62588,N,N,Y
2100,2015-06-11,2015-06-11,2019-06-17,272,66912,N,N,Y
2140,2015-06-11,2015-06-11,2019-06-14,153,36096,N,N,N
2173,2015-06-11,2015-06-11,2019-06-11,40,78558,N,N,Y
2336,2015-06-11,2015-06-11,2019-06-17,231,49425,N,N,Y
2563,2015-06-12,2015-06-13,2019-06-07,36,50222,N,N,Y
2588,2015-06-12,2016-06-09,2019-06-18,84,49793,N,N,Y
2688,2015-06-13,2015-06-25,2019-06-13,57,50296,N,N,Y
2784,2015-06-15,2015-06-15,2019-06-18,495,37297,N,Y,Y
2796,2015-06-15,2015-06-17,2019-06-13,223,52527,N,N,Y
2848,2015-06-15,2015-12-09,2019-06-06,53,91503,N,N,Y
2851,2015-06-15,2015-06-24,2019-06-15,253,71473,N,N,Y
2853,2015-06-16,2015-06-19,2019-06-16,392,74595,N,N,Y
3092,2015-06-17,2015-06-24,2019-06-14,235,46622,N,N,Y
3106,2015-06-17,2015-06-17,2019-06-18,1253,23479,Y,N,N
3112,2015-06-17,2015-06-23,2019-06-17,163,80317,N,N,Y
3198,2015-06-18,2015-06-18,2019-06-07,89,76540,N,N,Y
3369,2015-06-19,2015-06-23,2019-06-08,173,72979,N,N,Y
3540,2015-06-19,2015-07-08,2019-06-12,157,68996,N,N,Y
3614,2015-06-20,2015-06-29,2019-06-16,147,57619,N,N,N
3619,2015-06-21,2015-09-17,2019-06-14,231,25202,N,Y,N
3651,2015-06-21,2015-06-22,2019-06-18,193,54445,N,N,Y
3760,2015-06-22,2015-08-11,2019-06-15,91,70020,N,N,Y
3765,2015-06-22,2015-06-22,2019-06-17,252,50401,N,N,Y
3775,2015-06-22,2015-06-22,2019-06-18,509,30838,Y,N,Y
3781,2015-06-22,2015-06-24,2019-06-10,396,36901,N,N,Y
3903,2015-06-23,2016-01-04,2019-06-16,176,49112,N,N,N
3928,2015-06-23,2015-06-23,2019-05-23,29,87147,N,N,N
3969,2015-06-23,2015-06-23,2019-06-14,31,105599,N,N,Y
4018,2015-06-23,2015-06-23,2019-06-05,26,60007,N,N,Y
4196,2015-06-24,2015-06-24,2019-06-13,583,55721,N,N,N
4198,2015-06-24,2016-01-15,2019-06-14,76,100935,N,N,Y
4229,2015-06-24,2015-06-24,2019-06-15,237,51548,N,N,Y
4264,2015-06-25,2018-11-13,2019-06-17,47,54740,N,Y,N
4298,2015-06-25,2015-06-26,2019-06-17,289,80142,N,N,N
