년,월,일,지역-시도,지역-시군구,지역-읍면동,성별,연령대,이용_비율(%)
2018,5,1,강원도,강릉시,금학동,남,34,0.00231
2018,5,1,강원도,강릉시,금학동,남,58,0.00077
2018,5,1,강원도,강릉시,금학동,여,23,0.00092
2018,5,1,강원도,강릉시,금학동,여,30,0.00123
2018,5,1,강원도,속초시,조양동,남,58,0.001
2018,5,1,강원도,속초시,조양동,여,23,0.00239
2018,5,1,강원도,속초시,조양동,여,34,0.00185
2018,5,1,강원도,속초시,조양동,여,57,0.00077
2018,5,1,강원도,속초시,조양동,여,73,0.00023
2018,5,1,강원도,원주시,단계동,남,14,0.001
2018,5,1,강원도,원주시,단계동,남,20,0.00339
2018,5,1,강원도,원주시,단계동,남,32,0.00346
2018,5,1,강원도,원주시,단계동,여,14,0.00015
2018,5,1,강원도,원주시,단계동,여,20,0.00216
2018,5,1,강원도,원주시,단구동,남,14,0.00015
2018,5,1,강원도,원주시,단구동,여,33,0.00077
2018,5,1,강원도,원주시,단구동,여,45,0.00015
2018,5,1,강원도,원주시,단구동,여,58,0.00046
2018,5,1,강원도,원주시,무실동,남,22,0.00139
2018,5,1,강원도,원주시,무실동,여,32,0.00154
2018,5,1,강원도,원주시,무실동,여,46,0.00062
2018,5,1,강원도,원주시,반곡동,남,15,0.00023
2018,5,1,강원도,원주시,반곡동,남,32,0.00485
2018,5,1,강원도,원주시,반곡동,남,40,0.00408
2018,5,1,강원도,원주시,무실동,남,44,0.002
2018,5,1,강원도,원주시,단계동,여,52,0.00023
2018,5,1,강원도,원주시,반곡동,여,18,0.00023
2018,5,1,강원도,원주시,단계동,여,73,0.00038
2018,5,1,강원도,원주시,반곡동,남,55,0.00062
2018,5,1,강원도,원주시,반곡동,여,47,0.00185
2018,5,1,강원도,원주시,단계동,남,59,0.00046
2018,5,1,강원도,속초시,조양동,여,14,0.00054
2018,5,1,강원도,원주시,무실동,남,58,0.00031
2018,5,1,강원도,원주시,반곡동,여,69,0.00023
2018,5,1,강원도,속초시,조양동,남,40,0.00123
2018,5,1,강원도,춘천시,온의동,남,41,0.00192
2018,5,1,강원도,원주시,반곡동,여,35,0.00377
2018,5,1,강원도,춘천시,온의동,남,54,0.00054
2018,5,1,강원도,원주시,무실동,남,36,0.00216
2018,5,1,강원도,춘천시,온의동,여,12,0.00023
